id,question_bn,question_en,question_banglish,tier1_class,topic,strictness_label,short_explanation_bn,short_explanation_en,reference_text,reference_source,source_type,verification_status,search_keywords
136,"তাবলিগের গশর করা কি মুস্তাহাব?","Is going for gasht in Tabligh recommended?","tabliger gasht kora ki mustahab",Recommended,Social_Conduct,"Mustahabb","তাবলিগের গশর (দরজায় দরজায় দাওয়াত) করা মুস্তাহাব।","Going for gasht (door-to-door dawah) in Tabligh is recommended.","SEE_REFERENCE_SOURCE","General encouragement for dawah","Quran",NEEDS_VERIFICATION,"gasht,tabligh,dawah"
137,"তাবলিগে তিন দিন, চল্লিশ দিন বের হওয়া কি মুস্তাহাব?","Is going out for 3 days or 40 days in Tabligh recommended?","tablige tin din chollish din ber howa ki mustahab",Recommended,Social_Conduct,"Mustahabb","তাবলিগ জামাতে তিন দিন বা চল্লিশ দিন বের হওয়া মুস্তাহাব।","Going out for 3 days or 40 days in Tabligh Jamaat is recommended.","SEE_REFERENCE_SOURCE","Practice of dawah and self-reformation","Fiqh_Hanafi",NEEDS_VERIFICATION,"3 day,40 day,tabligh"
138,"দাওয়াতের কাজকে হালকা মনে করা কি মাকরুহ?","Is considering dawah work unimportant disliked?","dawater kajke halka mone kora ki makruh",Disliked,Social_Conduct,"Makruh","দাওয়াতের কাজকে হালকা বা অগুরুত্বপূর্ণ মনে করা মাকরুহ।","Considering the work of dawah as unimportant is disliked.","SEE_REFERENCE_SOURCE","Quran 3:104","Quran",NEEDS_VERIFICATION,"dawah importance"
139,"বিয়ের খুতবা পড়া কি সুন্নত?","Is reciting the khutbah of nikah a sunnah?","biyer khutba pora ki sunnat",Recommended,Family_and_Marriage,"Sunnah","বিয়ের খুতবা পড়া সুন্নত।","Reciting the marriage khutbah is a sunnah.","SEE_REFERENCE_SOURCE","Hadith of Ibn Masud on nikah khutbah","Sunan_Tirmidhi",NEEDS_VERIFICATION,"nikah khutbah"
140,"বিয়েতে ওলিমার আয়োজন করা কি সুন্নত?","Is arranging a walima sunnah?","biyete wolima ayojon kora ki sunnat",Recommended,Family_and_Marriage,"Sunnah","ওলিমা করা সুন্নত।","Holding a walima (wedding feast) is a sunnah.","SEE_REFERENCE_SOURCE","Hadith on walima","Sahih_Bukhari",NEEDS_VERIFICATION,"walima,olima"
141,"স্ত্রীর অনুমতি ছাড়া দ্বিতীয় বিয়ে করা কি মাকরুহ?","Is taking a second wife without the first wife's permission disliked?","strir onumoti chara ditio biye kora ki makruh",Disliked,Family_and_Marriage,"Makruh (in some cases)","প্রথম স্ত্রীর অনুমতি ছাড়া দ্বিতীয় বিয়ে করা মাকরুহ হতে পারে যদি এতে অন্যায় হয়।","Taking a second wife without consideration of justice and the first wife's situation can be disliked.","SEE_REFERENCE_SOURCE","Quran 4:3 on justice in polygyny","Quran",NEEDS_VERIFICATION,"second marriage,polygyny"
142,"রাসূলুল্লাহ ﷺ এর জীবনী পড়া কি মুস্তাহাব?","Is reading the Seerah of the Prophet recommended?","rasulullah er jiboni pora ki mustahab",Recommended,Faith_and_Aqidah,"Mustahabb","রাসূলুল্লাহ ﷺ এর সীরাত পড়া ও অধ্যয়ন করা মুস্তাহাব।","Reading and studying the Seerah of the Prophet ﷺ is recommended.","SEE_REFERENCE_SOURCE","General encouragement to know the Prophet","Sahih_Bukhari",NEEDS_VERIFICATION,"seerah,jiboni,prophet"
143,"রাসূলুল্লাহ ﷺ এর উপর দরুদ পাঠ করা কি মুস্তাহাব?","Is sending salawat upon the Prophet recommended?","rasulullah er upor dorud path kora ki mustahab",Recommended,Worship,"Mustahabb / Sunnah","রাসূলুল্লাহ ﷺ এর উপর দরুদ ও সালাম পাঠ করা মুস্তাহাব।","Sending salawat and salam upon the Prophet ﷺ is recommended.","Indeed, Allah confers blessing upon the Prophet, and His angels [ask Him to do so]. O you who have believed, ask [Allah to confer] blessing upon him...","Quran 33:56","Quran",verified,"durud,salawat,salam"
144,"সাহাবাদের বিরুদ্ধে কথা বলা কি হারাম?","Is speaking against the Sahaba forbidden?","sahabader biruddhe kotha bola ki haram",Forbidden,Faith_and_Aqidah,"Haram","সাহাবায়ে কেরামের বিরুদ্ধে অবমাননাকর কথা বলা হারাম।","Speaking ill of the Companions is forbidden.","SEE_REFERENCE_SOURCE","Hadiths on the rights of the Sahaba","Sahih_Bukhari",NEEDS_VERIFICATION,"sahaba respect,haram"
145,"আখিরাতের জন্য প্রস্তুতি নেওয়া কি ওয়াজিব?","Is preparing for the Hereafter obligatory?","akhirater jonno prostuti newa ki wajib",Obligatory,Faith_and_Aqidah,"Wajib","আখিরাতের জন্য আমল ও প্রস্তুতি নেওয়া ওয়াজিব।","Preparing for the Hereafter through good deeds is obligatory.","SEE_REFERENCE_SOURCE","Numerous Quranic verses on Akhirah","Quran",verified,"akhirah,preparation"
146,"জান্নাত লাভের জন্য আমল করা কি ওয়াজিব?","Is doing deeds to attain Paradise obligatory?","jannat labher jonno amol kora ki wajib",Obligatory,Faith_and_Aqidah,"Wajib","জান্নাত লাভের জন্য নেক আমল করা ওয়াজিব।","Performing righteous deeds to attain Paradise is obligatory.","SEE_REFERENCE_SOURCE","Quran and Hadith on Jannah","Quran",verified,"jannah,deeds"
147,"জাহান্নাম থেকে বাঁচার জন্য আমল করা কি ওয়াজিব?","Is doing deeds to be saved from Hell obligatory?","jahannam theke bachar jonno amol kora ki wajib",Obligatory,Faith_and_Aqidah,"Wajib","জাহান্নাম থেকে বাঁচার জন্য আমল ও ইস্তিগফার করা ওয়াজিব।","Acting to be saved from Hellfire is obligatory.","SEE_REFERENCE_SOURCE","Quran and Hadith on Jahannam","Quran",verified,"jahannam,save"
148,"আল্লাহর জিকির করা কি মুস্তাহাব?","Is remembering Allah recommended?","allahor jikir kora ki mustahab",Recommended,Worship,"Mustahabb / Sunnah","আল্লাহর জিকির করা অত্যন্ত মুস্তাহাব।","Remembering Allah (dhikr) is highly recommended.","O you who have believed, remember Allah with much remembrance","Quran 33:41","Quran",verified,"dhikr,jikir,zikr"
149,"মাসনূন দোয়া পড়া কি মুস্তাহাব?","Is reciting the Masnun duas recommended?","masnun doya pora ki mustahab",Recommended,Worship,"Mustahabb","রাসূলুল্লাহ ﷺ থেকে প্রমাণিত মাসনূন দোয়া পড়া মুস্তাহাব।","Reciting the authentic Masnun duas is recommended.","SEE_REFERENCE_SOURCE","Hisnul Muslim and Hadith collections","Sahih_Bukhari",NEEDS_VERIFICATION,"masnun dua,dua"
150,"ঘুমানোর আগে আয়াতুল কুরসি পড়া কি মুস্তাহাব?","Is reciting Ayat al-Kursi before sleep recommended?","ghumanor age ayatul kursi pora ki mustahab",Recommended,Worship,"Mustahabb","ঘুমানোর আগে আয়াতুল কুরসি পড়া মুস্তাহাব।","Reciting Ayat al-Kursi before sleeping is recommended.","SEE_REFERENCE_SOURCE","Hadith on Ayat al-Kursi before sleep","Sahih_Bukhari",NEEDS_VERIFICATION,"ayatul kursi,sleep"
151,"খাবারের শুরুতে বিসমিল্লাহ বলা কি সুন্নত?","Is saying Bismillah before eating a sunnah?","khabarer shurute bismillah bola ki sunnat",Recommended,Food_and_Drink,"Sunnah","খাবার শুরু করার আগে বিসমিল্লাহ বলা সুন্নত।","Saying Bismillah before eating is a sunnah.","SEE_REFERENCE_SOURCE","Hadith on eating etiquette","Sahih_Bukhari",NEEDS_VERIFICATION,"bismillah,eating"
152,"খাবার শেষে আলহামদুলিল্লাহ বলা কি সুন্নত?","Is saying Alhamdulillah after eating a sunnah?","khabar sheshe alhamdulillah bola ki sunnat",Recommended,Food_and_Drink,"Sunnah","খাবার শেষে আলহামদুলিল্লাহ বলা সুন্নত।","Saying Alhamdulillah after eating is a sunnah.","SEE_REFERENCE_SOURCE","Hadith on eating etiquette","Sahih_Bukhari",NEEDS_VERIFICATION,"alhamdulillah,after eating"
153,"দৈনিক কাজের আগে দোয়া পড়া কি মুস্তাহাব?","Is reciting dua before daily work recommended?","doinik kajer age doya pora ki mustahab",Recommended,Social_Conduct,"Mustahabb","যেকোনো বৈধ কাজের শুরুতে দোয়া পড়া মুস্তাহাব।","Reciting dua before starting daily work is recommended.","SEE_REFERENCE_SOURCE","General encouragement for dua","Sahih_Bukhari",NEEDS_VERIFICATION,"dua before work"
154,"ইমাম শাফেয়ী রহ.-এর মর্যাদা","Status of Imam ash-Shafi'i (RH)","imam shafeyi rohm er morjada",Recommended,Faith_and_Aqidah,"High scholarly rank","ইমাম শাফেয়ী রহ. একজন মহান মুজতাহিদ ইমাম।","Imam ash-Shafi'i (RH) is one of the great mujtahid Imams.","SEE_REFERENCE_SOURCE","Classical biographical works","Fiqh_Shafii",NEEDS_VERIFICATION,"shafii,imam"
155,"ইমাম মালিক রহ.-এর মর্যাদা","Status of Imam Malik (RH)","imam malik rohm er morjada",Recommended,Faith_and_Aqidah,"High scholarly rank","ইমাম মালিক রহ. একজন মহান মুজতাহিদ ইমাম।","Imam Malik (RH) is one of the great mujtahid Imams.","SEE_REFERENCE_SOURCE","Classical biographical works","Fiqh_Maliki",NEEDS_VERIFICATION,"malik,imam"
156,"তাবলিগের মারকাজে সময় দেওয়া কি মুস্তাহাব?","Is spending time in the Tabligh markaz recommended?","tabliger markaze somoy dewa ki mustahab",Recommended,Social_Conduct,"Mustahabb","তাবলিগের মারকাজে সময় দেওয়া ও দ্বীনি পরিবেশে থাকা মুস্তাহাব।","Spending time in the Tabligh markaz is recommended.","SEE_REFERENCE_SOURCE","General encouragement for good company and dawah","Fiqh_Hanafi",NEEDS_VERIFICATION,"markaz,tabligh"
157,"তাবলিগ জামাতে আমিরের আনুগত্য করা কি ওয়াজিব?","Is obeying the amir in Tabligh Jamaat obligatory?","tablig jamate amirer anugotya kora ki wajib",Obligatory,Social_Conduct,"Wajib (in permissible matters)","জামাতের আমিরের আনুগত্য করা (সৎ বিষয়ে) ওয়াজিব।","Obeying the amir of the Jamaat in permissible matters is required.","SEE_REFERENCE_SOURCE","Hadith on obeying the leader","Sahih_Bukhari",NEEDS_VERIFICATION,"amir,obedience,tabligh"
158,"বিয়ের আগে মেয়ে দেখা কি জায়েজ?","Is seeing the prospective bride before marriage permissible?","biyer age meye dekha ki jayez",Permissible,Family_and_Marriage,"Jaiz / Sunnah","বিয়ের আগে মেয়ে দেখা জায়েজ এবং সুন্নত।","Looking at the prospective bride before marriage is permissible and sunnah.","SEE_REFERENCE_SOURCE","Hadith permitting looking at the woman one intends to marry","Sahih_Muslim",NEEDS_VERIFICATION,"seeing bride,nikah"
159,"বিয়েতে অভিভাবকের অনুমতি কি জরুরি?","Is the guardian’s permission necessary for marriage?","biyete ovibhaboker onumoti ki joruri",Obligatory,Family_and_Marriage,"Wajib (for a woman)","মেয়েদের বিয়েতে অভিভাবকের অনুমতি জরুরি।","The permission of the guardian (wali) is necessary for a woman’s marriage.","SEE_REFERENCE_SOURCE","Hadith: There is no marriage without a guardian","Sunan_Abu_Dawood",NEEDS_VERIFICATION,"wali,guardian,nikah"
160,"রাসূলুল্লাহ ﷺ এর আদর্শ অনুসরণ করা কি ফরজ?","Is following the example of the Prophet obligatory?","rasulullah er adorosh onusoron kora ki foroj",Obligatory,Faith_and_Aqidah,"Fard / Wajib","রাসূলুল্লাহ ﷺ এর আদর্শ অনুসরণ করা ফরজ।","Following the example and teachings of the Prophet ﷺ is obligatory.","There has certainly been for you in the Messenger of Allah an excellent pattern","Quran 33:21","Quran",verified,"uswah,example,prophet"
161,"রাসূলুল্লাহ ﷺ এর প্রতি মিথ্যা আরোপ করা কি কুফর?","Is fabricating lies against the Prophet disbelief?","rasulullah er proti mithya arop kora ki kufr",Faith_Violation,Faith_and_Aqidah,"Kufr / Major sin","রাসূলুল্লাহ ﷺ এর প্রতি মিথ্যা আরোপ করা অত্যন্ত গুরুতর গুনাহ।","Fabricating lies against the Prophet ﷺ is a major sin and can lead to kufr.","SEE_REFERENCE_SOURCE","Hadith: Whoever lies about me deliberately...","Sahih_Bukhari",verified,"lying about prophet"
162,"আবু হুরায়রা রা.-এর অবদান","Contribution of Abu Hurairah (RA)","abu huraira rar obodan",Recommended,Faith_and_Aqidah,"High virtue","আবু হুরায়রা রা. সবচেয়ে বেশি হাদিস বর্ণনাকারী সাহাবী।","Abu Hurairah (RA) narrated the largest number of hadiths.","SEE_REFERENCE_SOURCE","Hadith sciences and biographical works","Sahih_Bukhari",NEEDS_VERIFICATION,"abu huraira"
163,"আয়েশা রা.-এর ফজিলত","Virtue of Aisha (RA)","ayesha rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","আয়েশা রা. উম্মুল মুমিনীন এবং একজন মহান আলেম ছিলেন।","Aisha (RA) is Mother of the Believers and a great scholar.","SEE_REFERENCE_SOURCE","Authentic hadiths on Aisha","Sahih_Bukhari",NEEDS_VERIFICATION,"ayesha,ummul muminin"
164,"হজরত নূহ আ.-এর মর্যাদা","Status of Prophet Nuh (AS)","hojurat nuh a er morjada",Recommended,Faith_and_Aqidah,"Ulul Azm Prophet","হজরত নূহ আ. উলুল আজম নবী এবং দীর্ঘ সময় ধরে দাওয়াত দিয়েছিলেন।","Prophet Nuh (AS) is one of the greatest Messengers.","SEE_REFERENCE_SOURCE","Quranic verses on Nuh","Quran",verified,"nuh,noah"
165,"হজরত ইউসুফ আ.-এর মর্যাদা","Status of Prophet Yusuf (AS)","hojurat yusuf a er morjada",Recommended,Faith_and_Aqidah,"High rank among Prophets","হজরত ইউসুফ আ. একজন মহান নবী এবং সৌন্দর্য ও ধৈর্যের প্রতীক।","Prophet Yusuf (AS) is a great Prophet known for patience and beauty.","SEE_REFERENCE_SOURCE","Surah Yusuf","Quran",verified,"yusuf,joseph"
166,"কিয়ামতের দিনকে ভয় করা কি মুস্তাহাব?","Is fearing the Day of Judgment recommended?","kiyamater dinke bhoy kora ki mustahab",Recommended,Faith_and_Aqidah,"Mustahabb","কিয়ামতের দিনকে ভয় করা এবং তার জন্য প্রস্তুতি নেওয়া মুস্তাহাব।","Fearing the Day of Judgment and preparing for it is recommended.","SEE_REFERENCE_SOURCE","Numerous Quranic verses","Quran",verified,"qiyamah,fear"
167,"জান্নাতের নেয়ামত স্মরণ করা কি মুস্তাহাব?","Is remembering the blessings of Paradise recommended?","jannater neyamat smoron kora ki mustahab",Recommended,Faith_and_Aqidah,"Mustahabb","জান্নাতের নেয়ামত স্মরণ করে আমল করা মুস্তাহাব।","Remembering the blessings of Paradise to motivate good deeds is recommended.","SEE_REFERENCE_SOURCE","Quranic descriptions of Jannah","Quran",verified,"jannah,blessings"
168,"জাহান্নামের আজাব স্মরণ করা কি মুস্তাহাব?","Is remembering the punishment of Hell recommended?","jahannamer azab smoron kora ki mustahab",Recommended,Faith_and_Aqidah,"Mustahabb","জাহান্নামের আজাব স্মরণ করে গুনাহ থেকে বাঁচা মুস্তাহাব।","Remembering the punishment of Hell to avoid sins is recommended.","SEE_REFERENCE_SOURCE","Quranic descriptions of Jahannam","Quran",verified,"jahannam,punishment"
169,"আল্লাহর উপর ভরসা করা কি ওয়াজিব?","Is placing trust in Allah obligatory?","allahor upor bhorosa kora ki wajib",Obligatory,Faith_and_Aqidah,"Wajib","তাওয়াক্কুল তথা আল্লাহর উপর ভরসা করা ওয়াজিব।","Placing complete trust (tawakkul) in Allah is obligatory.","And whoever relies upon Allah - then He is sufficient for him","Quran 65:3","Quran",verified,"tawakkul,trust"
170,"আল্লাহর কাছে দোয়া করা কি মুস্তাহাব?","Is making dua to Allah recommended?","allahor kache doya kora ki mustahab",Recommended,Worship,"Mustahabb / Sunnah","আল্লাহর কাছে দোয়া করা ইবাদতের মূল।","Making dua to Allah is the essence of worship and highly recommended.","And when My servants ask you concerning Me, indeed I am near...","Quran 2:186","Quran",verified,"dua,supplication"
171,"খাবার হালাল কি না খোঁজ করা কি ওয়াজিব?","Is checking whether food is halal obligatory?","khabar halal ki na khoj kora ki wajib",Obligatory,Food_and_Drink,"Wajib","সন্দেহজনক খাবারের হালাল কি না খোঁজ করা ওয়াজিব।","Checking the permissibility of doubtful food is obligatory.","SEE_REFERENCE_SOURCE","Principle of avoiding doubtful matters","Sahih_Bukhari",NEEDS_VERIFICATION,"halal check,doubtful food"
172,"দৈনিক পাঁচ ওয়াক্ত নামাজের পর দোয়া করা কি মুস্তাহাব?","Is making dua after the five daily prayers recommended?","doinik panch oakt namajer por doya kora ki mustahab",Recommended,Worship,"Mustahabb","ফরজ নামাজের পর দোয়া করা মুস্তাহাব।","Making dua after the obligatory prayers is recommended.","SEE_REFERENCE_SOURCE","Hadith on dua after salah","Sahih_Bukhari",NEEDS_VERIFICATION,"dua after salah"
173,"সকাল-সন্ধ্যার মাসনূন জিকির পড়া কি মুস্তাহাব?","Is reciting the morning and evening adhkar recommended?","sokal sondhar masnun jikir pora ki mustahab",Recommended,Worship,"Mustahabb / Sunnah","সকাল ও সন্ধ্যার মাসনূন জিকির পড়া অত্যন্ত মুস্তাহাব।","Reciting the authentic morning and evening adhkar is highly recommended.","SEE_REFERENCE_SOURCE","Hisnul Muslim and Hadith collections","Sahih_Muslim",NEEDS_VERIFICATION,"morning adhkar,evening adhkar"
174,"ঘরে প্রবেশের দোয়া পড়া কি সুন্নত?","Is reciting the dua when entering the house a sunnah?","ghore probesher doya pora ki sunnat",Recommended,Worship,"Sunnah","ঘরে প্রবেশের সময় দোয়া পড়া সুন্নত।","Reciting the dua when entering the house is a sunnah.","SEE_REFERENCE_SOURCE","Hadith on entering the home","Sahih_Bukhari",NEEDS_VERIFICATION,"dua entering house"
175,"বাড়ি থেকে বের হওয়ার দোয়া পড়া কি সুন্নত?","Is reciting the dua when leaving the house a sunnah?","bari theke ber howar doya pora ki sunnat",Recommended,Worship,"Sunnah","বাড়ি থেকে বের হওয়ার সময় দোয়া পড়া সুন্নত।","Reciting the dua when leaving the house is a sunnah.","SEE_REFERENCE_SOURCE","Hadith on leaving the home","Sahih_Bukhari",NEEDS_VERIFICATION,"dua leaving house"
176,"ইমাম আহমদ ইবনে হাম্বল রহ.-এর মর্যাদা","Status of Imam Ahmad ibn Hanbal (RH)","imam ahmad ibne hanbal rohm er morjada",Recommended,Faith_and_Aqidah,"High scholarly rank","ইমাম আহমদ ইবনে হাম্বল রহ. একজন মহান মুজতাহিদ ও হাদিস বিশারদ।","Imam Ahmad ibn Hanbal (RH) is a great mujtahid and Hadith scholar.","SEE_REFERENCE_SOURCE","Classical biographical works","Fiqh_Hanbali",NEEDS_VERIFICATION,"ahmad ibn hanbal"
177,"হজরত খদিজা রা.-এর ফজিলত","Virtue of Khadijah (RA)","hojurat khadija rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","খদিজা রা. রাসূলুল্লাহ ﷺ এর প্রথম স্ত্রী এবং প্রথম ঈমান আনয়নকারী।","Khadijah (RA) was the first wife of the Prophet ﷺ and the first to believe in him.","SEE_REFERENCE_SOURCE","Authentic Seerah and Hadith","Sahih_Bukhari",NEEDS_VERIFICATION,"khadijah"
178,"হজরত ফাতিমা রা.-এর ফজিলত","Virtue of Fatimah (RA)","hojurat fatima rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","ফাতিমা রা. রাসূলুল্লাহ ﷺ এর কন্যা এবং জান্নাতের নারীদের নেত্রী।","Fatimah (RA) is the daughter of the Prophet ﷺ and leader of the women of Paradise.","SEE_REFERENCE_SOURCE","Authentic hadiths","Sahih_Bukhari",NEEDS_VERIFICATION,"fatimah"
179,"জান্নাতুল ফিরদাউস কামনা করা কি মুস্তাহাব?","Is asking for Jannat al-Firdaws recommended?","jannatul firdaws kamona kora ki mustahab",Recommended,Faith_and_Aqidah,"Mustahabb","জান্নাতুল ফিরদাউস কামনা করে দোয়া করা মুস্তাহাব।","Asking Allah for the highest Paradise (Firdaws) is recommended.","SEE_REFERENCE_SOURCE","Hadith on asking for Firdaws","Sahih_Bukhari",NEEDS_VERIFICATION,"firdaws,jannah"
180,"জাহান্নাম থেকে আল্লাহর কাছে আশ্রয় চাওয়া কি মুস্তাহাব?","Is seeking refuge from Hell recommended?","jahannam theke allahor kache ashroy chawa ki mustahab",Recommended,Worship,"Mustahabb","জাহান্নাম থেকে আল্লাহর কাছে আশ্রয় চাওয়া মুস্তাহাব।","Seeking refuge in Allah from Hellfire is recommended.","SEE_REFERENCE_SOURCE","Hadiths on seeking refuge from Jahannam","Sahih_Muslim",NEEDS_VERIFICATION,"refuge from hell"
181,"আল্লাহর সন্তুষ্টি কামনা করা কি ফরজ?","Is seeking the pleasure of Allah obligatory?","allahor sontushti kamona kora ki foroj",Obligatory,Faith_and_Aqidah,"Fard","সব আমলের উদ্দেশ্য আল্লাহর সন্তুষ্টি হওয়া ফরজ।","Seeking the pleasure of Allah in all deeds is obligatory.","SEE_REFERENCE_SOURCE","Quran and Hadith on sincerity","Quran",verified,"ridha,pleasure of allah"
182,"হালাল রোজগার করা কি ফরজ?","Is earning a halal livelihood obligatory?","halal rojgar kora ki foroj",Obligatory,Business_and_Finance,"Fard","হালাল উপার্জন করা ফরজ।","Earning a lawful livelihood is obligatory.","SEE_REFERENCE_SOURCE","Hadith on halal earnings","Sahih_Bukhari",NEEDS_VERIFICATION,"halal income,rojgar"
183,"পরিবারের ভরণপোষণ করা কি ফরজ?","Is providing for one’s family obligatory?","poribarer bhoronposhon kora ki foroj",Obligatory,Family_and_Marriage,"Fard","পরিবারের ভরণপোষণ করা ফরজ।","Providing maintenance for one’s family is obligatory.","SEE_REFERENCE_SOURCE","Hadith on spending on family","Sahih_Bukhari",verified,"family maintenance"
184,"প্রতিদিন কুরআন তিলাওয়াত করা কি মুস্তাহাব?","Is reciting Quran daily recommended?","protidin quran tilawat kora ki mustahab",Recommended,Worship,"Mustahabb","প্রতিদিন কুরআন তিলাওয়াত করা মুস্তাহাব।","Reciting the Quran daily is recommended.","SEE_REFERENCE_SOURCE","Hadith on daily recitation","Sahih_Bukhari",NEEDS_VERIFICATION,"daily quran"
185,"সালাতুস সালাম পড়া কি মুস্তাহাব?","Is reciting Salat and Salam upon the Prophet recommended?","salatus salam pora ki mustahab",Recommended,Worship,"Mustahabb","রাসূলুল্লাহ ﷺ এর উপর সালাত ও সালাম পড়া মুস্তাহাব।","Reciting Salat and Salam upon the Prophet ﷺ is recommended.","Quran 33:56","Quran 33:56","Quran",verified,"salat salam,durud"
186,"খাবারের আগে হাত ধোয়া কি সুন্নত?","Is washing hands before eating a sunnah?","khabarer age hat dhowa ki sunnat",Recommended,Food_and_Drink,"Sunnah","খাবারের আগে হাত ধোয়া সুন্নত।","Washing hands before eating is a sunnah.","SEE_REFERENCE_SOURCE","Hadith on cleanliness before eating","Sunan_Abu_Dawood",NEEDS_VERIFICATION,"wash hands,eating"
187,"দৈনিক কাজকে ইবাদত বানানো কি মুস্তাহাব?","Is turning daily work into worship recommended?","doinik kajke ibadat banano ki mustahab",Recommended,Social_Conduct,"Mustahabb","নিয়তের মাধ্যমে দৈনিক হালাল কাজকে ইবাদত বানানো মুস্তাহাব।","Turning ordinary lawful work into worship through intention is recommended.","SEE_REFERENCE_SOURCE","Hadith on intention","Sahih_Bukhari",NEEDS_VERIFICATION,"intention,work as worship"
188,"হজরত আলী রা.-এর ফজিলত","Virtue of Ali (RA)","hojurat ali rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","আলী রা. চতুর্থ খলিফা এবং রাসূলুল্লাহ ﷺ এর চাচাতো ভাই ও জামাতা।","Ali (RA) is the fourth Caliph and cousin & son-in-law of the Prophet ﷺ.","SEE_REFERENCE_SOURCE","Authentic hadiths","Sahih_Bukhari",NEEDS_VERIFICATION,"ali"
189,"হজরত উসমান রা.-এর ফজিলত","Virtue of Uthman (RA)","hojurat usman rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","উসমান রা. তৃতীয় খলিফা এবং দুই কন্যার স্বামী (জুন নূরাইন)।","Uthman (RA) is the third Caliph and known as Dhun-Nurayn.","SEE_REFERENCE_SOURCE","Authentic hadiths","Sahih_Bukhari",NEEDS_VERIFICATION,"uthman"
190,"আল্লাহর রাস্তায় খরচ করা কি মুস্তাহাব?","Is spending in the way of Allah recommended?","allahor rastay khoroch kora ki mustahab",Recommended,Worship,"Mustahabb","আল্লাহর রাস্তায় ব্যয় করা অত্যন্ত মুস্তাহাব।","Spending in the way of Allah is highly recommended.","SEE_REFERENCE_SOURCE","Quranic verses on spending","Quran",verified,"spending,sadaqah"
191,"তাবলিগের তালিম করা কি মুস্তাহাব?","Is conducting ta’lim in Tabligh recommended?","tabliger talim kora ki mustahab",Recommended,Social_Conduct,"Mustahabb","তাবলিগের তালিম (দ্বীনি আলোচনা) করা মুস্তাহাব।","Conducting ta’lim (religious teaching) in Tabligh is recommended.","SEE_REFERENCE_SOURCE","General encouragement for teaching deen","Quran",NEEDS_VERIFICATION,"talim,tabligh"
192,"তাবলিগে নিয়ত শুদ্ধ রাখা কি ওয়াজিব?","Is keeping intention pure in Tabligh obligatory?","tablige niyot shuddho rakha ki wajib",Obligatory,Social_Conduct,"Wajib","তাবলিগসহ যেকোনো ইবাদতে নিয়ত একমাত্র আল্লাহর জন্য রাখা ওয়াজিব।","Keeping the intention purely for Allah in Tabligh (and all worship) is obligatory.","SEE_REFERENCE_SOURCE","Hadith of intention (innamal a’malu binniyat)","Sahih_Bukhari",verified,"niyyah,intention"
193,"বিয়ের পর স্ত্রীর সাথে সদ্ব্যবহার করা কি ওয়াজিব?","Is kind treatment of the wife after marriage obligatory?","biyer por strir sathe sodbyabohar kora ki wajib",Obligatory,Family_and_Marriage,"Wajib","স্ত্রীর সাথে সদ্ব্যবহার করা ওয়াজিব।","Kind and good treatment of the wife is obligatory.","And live with them in kindness","Quran 4:19","Quran",verified,"good treatment,wife"
194,"স্বামীর আনুগত্য করা কি ওয়াজিব?","Is obedience to the husband obligatory?","shamir anugotya kora ki wajib",Obligatory,Family_and_Marriage,"Wajib (in permissible matters)","স্ত্রীর জন্য স্বামীর আনুগত্য করা (সৎ বিষয়ে) ওয়াজিব।","Obedience to the husband in permissible matters is obligatory for the wife.","SEE_REFERENCE_SOURCE","Hadiths on rights of the husband","Sahih_Bukhari",NEEDS_VERIFICATION,"obedience husband"
195,"রাসূলুল্লাহ ﷺ এর নাম শুনে দরুদ পড়া কি মুস্তাহাব?","Is sending salawat when hearing the Prophet’s name recommended?","rasulullah er nam shune dorud pora ki mustahab",Recommended,Worship,"Mustahabb","রাসূলুল্লাহ ﷺ এর নাম শুনলে দরুদ পড়া মুস্তাহাব।","Sending salawat upon hearing the name of the Prophet ﷺ is recommended.","SEE_REFERENCE_SOURCE","Hadiths on sending salawat","Sahih_Muslim",NEEDS_VERIFICATION,"salawat on hearing name"
196,"রাসূলুল্লাহ ﷺ এর পরিবারের সম্মান করা কি ওয়াজিব?","Is respecting the family of the Prophet obligatory?","rasulullah er poribarer somman kora ki wajib",Obligatory,Faith_and_Aqidah,"Wajib","আহলে বাইতের সম্মান করা ওয়াজিব।","Respecting the Ahl al-Bayt (family of the Prophet) is obligatory.","SEE_REFERENCE_SOURCE","Hadiths on Ahl al-Bayt","Sahih_Muslim",NEEDS_VERIFICATION,"ahl al-bayt"
197,"হজরত হামজা রা.-এর ফজিলত","Virtue of Hamza (RA)","hojurat hamza rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","হামজা রা. রাসূলুল্লাহ ﷺ এর চাচা এবং সায়্যিদুশ শুহাদা।","Hamza (RA) is the uncle of the Prophet ﷺ and Sayyid ash-Shuhada.","SEE_REFERENCE_SOURCE","Seerah and Hadith","Sahih_Bukhari",NEEDS_VERIFICATION,"hamza"
